index,tier,sentence,score
1,Shadow,Masked Shadow sentence.,-4.9
2,Shadow,Masked Shadow sentence.,-4.9
3,Shadow,Masked Shadow sentence.,-4.9
4,Shadow,Masked Shadow sentence.,-4.8
5,Shadow,Masked Shadow sentence.,-4.8
6,Shadow,Masked Shadow sentence.,-4.8
7,Shadow,Masked Shadow sentence.,-4.78
8,Shadow,Masked Shadow sentence.,-4.78
9,Shadow,Masked Shadow sentence.,-4.78
10,Shadow,Masked Shadow sentence.,-4.75
11,Shadow,Masked Shadow sentence.,-4.75
12,Shadow,Masked Shadow sentence.,-4.75
13,Shadow,Masked Shadow sentence.,-4.7
14,Shadow,Masked Shadow sentence.,-4.7
15,Shadow,Masked Shadow sentence.,-4.7
16,Shadow,Masked Shadow sentence.,-4.68
17,Shadow,Masked Shadow sentence.,-4.68
18,Shadow,Masked Shadow sentence.,-4.68
19,Shadow,Masked Shadow sentence.,-4.6
20,Shadow,Masked Shadow sentence.,-4.6
21,Shadow,Masked Shadow sentence.,-4.6
22,Shadow,Masked Shadow sentence.,-4.6
23,Shadow,Masked Shadow sentence.,-4.6
24,Shadow,Masked Shadow sentence.,-4.6
25,Shadow,Masked Shadow sentence.,-4.58
26,Shadow,Masked Shadow sentence.,-4.58
27,Shadow,Masked Shadow sentence.,-4.58
28,Shadow,Masked Shadow sentence.,-4.56
29,Shadow,Masked Shadow sentence.,-4.56
30,Shadow,Masked Shadow sentence.,-4.56
31,Shadow,Masked Shadow sentence.,-4.56
32,Shadow,Masked Shadow sentence.,-4.56
33,Shadow,Masked Shadow sentence.,-4.56
34,Shadow,Masked Shadow sentence.,-4.55
35,Shadow,Masked Shadow sentence.,-4.55
36,Shadow,Masked Shadow sentence.,-4.55
37,Shadow,Masked Shadow sentence.,-4.55
38,Shadow,Masked Shadow sentence.,-4.55
39,Shadow,Masked Shadow sentence.,-4.55
40,Shadow,Masked Shadow sentence.,-4.54
41,Shadow,Masked Shadow sentence.,-4.54
42,Shadow,Masked Shadow sentence.,-4.54
43,Shadow,Masked Shadow sentence.,-4.54
44,Shadow,Masked Shadow sentence.,-4.54
45,Shadow,Masked Shadow sentence.,-4.54
46,Shadow,Masked Shadow sentence.,-4.5
47,Shadow,Masked Shadow sentence.,-4.5
48,Shadow,Masked Shadow sentence.,-4.5
49,Shadow,Masked Shadow sentence.,-4.5
50,Shadow,Masked Shadow sentence.,-4.5
51,Shadow,Masked Shadow sentence.,-4.5
52,Shadow,Masked Shadow sentence.,-4.5
53,Shadow,Masked Shadow sentence.,-4.5
54,Shadow,Masked Shadow sentence.,-4.5
55,Shadow,Masked Shadow sentence.,-4.44
56,Shadow,Masked Shadow sentence.,-4.44
57,Shadow,Masked Shadow sentence.,-4.44
58,Striving,Masked Striving sentence.,-4.42
59,Striving,Masked Striving sentence.,-4.42
60,Striving,Masked Striving sentence.,-4.42
61,Striving,Masked Striving sentence.,-4.4
62,Striving,Masked Striving sentence.,-4.4
63,Striving,Masked Striving sentence.,-4.4
64,Shadow,Masked Shadow sentence.,-4.34
65,Shadow,Masked Shadow sentence.,-4.34
66,Shadow,Masked Shadow sentence.,-4.34
67,Shadow,Masked Shadow sentence.,-4.32
68,Shadow,Masked Shadow sentence.,-4.32
69,Shadow,Masked Shadow sentence.,-4.32
70,Shadow,Masked Shadow sentence.,-4.3
71,Shadow,Masked Shadow sentence.,-4.3
72,Shadow,Masked Shadow sentence.,-4.3
73,Shadow,Masked Shadow sentence.,-4.3
74,Shadow,Masked Shadow sentence.,-4.3
75,Shadow,Masked Shadow sentence.,-4.3
76,Shadow,Masked Shadow sentence.,-4.24
77,Shadow,Masked Shadow sentence.,-4.24
78,Shadow,Masked Shadow sentence.,-4.24
79,Shadow,Masked Shadow sentence.,-4.22
80,Shadow,Masked Shadow sentence.,-4.22
81,Shadow,Masked Shadow sentence.,-4.22
82,Striving,Masked Striving sentence.,-3.32
83,Striving,Masked Striving sentence.,-3.32
84,Striving,Masked Striving sentence.,-3.32
85,Striving,Masked Striving sentence.,-3.3
86,Striving,Masked Striving sentence.,-3.3
87,Striving,Masked Striving sentence.,-3.3
88,Striving,Masked Striving sentence.,-3.3
89,Striving,Masked Striving sentence.,-3.3
90,Striving,Masked Striving sentence.,-3.3
91,Striving,Masked Striving sentence.,-3.25
92,Striving,Masked Striving sentence.,-3.25
93,Striving,Masked Striving sentence.,-3.25
94,Striving,Masked Striving sentence.,-3.18
95,Striving,Masked Striving sentence.,-3.18
96,Striving,Masked Striving sentence.,-3.18
97,Striving,Masked Striving sentence.,-3.06
98,Striving,Masked Striving sentence.,-3.06
99,Striving,Masked Striving sentence.,-3.06
100,Striving,Masked Striving sentence.,-3.06
101,Striving,Masked Striving sentence.,-3.06
102,Striving,Masked Striving sentence.,-3.06
103,Striving,Masked Striving sentence.,-3.05
104,Striving,Masked Striving sentence.,-3.05
105,Striving,Masked Striving sentence.,-3.05
106,Striving,Masked Striving sentence.,-3.05
107,Striving,Masked Striving sentence.,-3.05
108,Striving,Masked Striving sentence.,-3.05
109,Striving,Masked Striving sentence.,-3
110,Striving,Masked Striving sentence.,-3
111,Striving,Masked Striving sentence.,-3
112,Striving,Masked Striving sentence.,-2.94
113,Striving,Masked Striving sentence.,-2.94
114,Striving,Masked Striving sentence.,-2.94
115,Striving,Masked Striving sentence.,-2.94
116,Striving,Masked Striving sentence.,-2.94
117,Striving,Masked Striving sentence.,-2.94
118,Striving,Masked Striving sentence.,-2.82
119,Striving,Masked Striving sentence.,-2.82
120,Striving,Masked Striving sentence.,-2.82
121,Striving,Masked Striving sentence.,-2.82
122,Striving,Masked Striving sentence.,-2.82
123,Striving,Masked Striving sentence.,-2.82
124,Conflict,Masked Conflict sentence.,-2.3
125,Conflict,Masked Conflict sentence.,-2.3
126,Conflict,Masked Conflict sentence.,-2.3
127,Conflict,Masked Conflict sentence.,-2.2
128,Conflict,Masked Conflict sentence.,-2.2
129,Conflict,Masked Conflict sentence.,-2.2
130,Conflict,Masked Conflict sentence.,-2.16
131,Conflict,Masked Conflict sentence.,-2.16
132,Conflict,Masked Conflict sentence.,-2.16
133,Conflict,Masked Conflict sentence.,-2.12
134,Conflict,Masked Conflict sentence.,-2.12
135,Conflict,Masked Conflict sentence.,-2.12
136,Conflict,Masked Conflict sentence.,-2.1
137,Conflict,Masked Conflict sentence.,-2.1
138,Conflict,Masked Conflict sentence.,-2.1
139,Conflict,Masked Conflict sentence.,-2.08
140,Conflict,Masked Conflict sentence.,-2.08
141,Conflict,Masked Conflict sentence.,-2.08
142,Conflict,Masked Conflict sentence.,-2.05
143,Conflict,Masked Conflict sentence.,-2.05
144,Conflict,Masked Conflict sentence.,-2.05
145,Conflict,Masked Conflict sentence.,-2.04
146,Conflict,Masked Conflict sentence.,-2.04
147,Conflict,Masked Conflict sentence.,-2.04
148,Conflict,Masked Conflict sentence.,-2
149,Conflict,Masked Conflict sentence.,-2
150,Conflict,Masked Conflict sentence.,-2
151,Conflict,Masked Conflict sentence.,-1.98
152,Conflict,Masked Conflict sentence.,-1.98
153,Conflict,Masked Conflict sentence.,-1.98
154,Conflict,Masked Conflict sentence.,-1.96
155,Conflict,Masked Conflict sentence.,-1.96
156,Conflict,Masked Conflict sentence.,-1.96
157,Conflict,Masked Conflict sentence.,-1.92
158,Conflict,Masked Conflict sentence.,-1.92
159,Conflict,Masked Conflict sentence.,-1.92
160,Striving,Masked Striving sentence.,-1.9
161,Striving,Masked Striving sentence.,-1.9
162,Striving,Masked Striving sentence.,-1.9
163,Striving,Masked Striving sentence.,-1.86
164,Striving,Masked Striving sentence.,-1.86
165,Striving,Masked Striving sentence.,-1.86
166,Striving,Masked Striving sentence.,-1.85
167,Striving,Masked Striving sentence.,-1.85
168,Striving,Masked Striving sentence.,-1.85
169,Conflict,Masked Conflict sentence.,-1.82
170,Conflict,Masked Conflict sentence.,-1.82
171,Conflict,Masked Conflict sentence.,-1.82
172,Conflict,Masked Conflict sentence.,-1.8
173,Conflict,Masked Conflict sentence.,-1.8
174,Conflict,Masked Conflict sentence.,-1.8
175,Conflict,Masked Conflict sentence.,-1.78
176,Conflict,Masked Conflict sentence.,-1.78
177,Conflict,Masked Conflict sentence.,-1.78
178,Conflict,Masked Conflict sentence.,-1.78
179,Conflict,Masked Conflict sentence.,-1.78
180,Conflict,Masked Conflict sentence.,-1.78
181,Conflict,Masked Conflict sentence.,-1.75
182,Conflict,Masked Conflict sentence.,-1.75
183,Conflict,Masked Conflict sentence.,-1.75
184,Conflict,Masked Conflict sentence.,-1.72
185,Conflict,Masked Conflict sentence.,-1.72
186,Conflict,Masked Conflict sentence.,-1.72
187,Conflict,Masked Conflict sentence.,-1.7
188,Conflict,Masked Conflict sentence.,-1.7
189,Conflict,Masked Conflict sentence.,-1.7
190,Conflict,Masked Conflict sentence.,-1.7
191,Conflict,Masked Conflict sentence.,-1.7
192,Conflict,Masked Conflict sentence.,-1.7
193,Conflict,Masked Conflict sentence.,-1.6
194,Conflict,Masked Conflict sentence.,-1.6
195,Conflict,Masked Conflict sentence.,-1.6
196,Conflict,Masked Conflict sentence.,-0.5
197,Conflict,Masked Conflict sentence.,-0.5
198,Conflict,Masked Conflict sentence.,-0.5
199,Activation,Masked Activation sentence.,-0.5
200,Activation,Masked Activation sentence.,-0.5
201,Activation,Masked Activation sentence.,-0.5
202,Activation,Masked Activation sentence.,0
203,Activation,Masked Activation sentence.,0
204,Activation,Masked Activation sentence.,0
205,Activation,Masked Activation sentence.,0
206,Activation,Masked Activation sentence.,0
207,Activation,Masked Activation sentence.,0
208,Activation,Masked Activation sentence.,0.05
209,Activation,Masked Activation sentence.,0.05
210,Activation,Masked Activation sentence.,0.05
211,Activation,Masked Activation sentence.,0.15
212,Activation,Masked Activation sentence.,0.15
213,Activation,Masked Activation sentence.,0.15
214,Activation,Masked Activation sentence.,0.18
215,Activation,Masked Activation sentence.,0.18
216,Activation,Masked Activation sentence.,0.18
217,Activation,Masked Activation sentence.,0.2
218,Activation,Masked Activation sentence.,0.2
219,Activation,Masked Activation sentence.,0.2
220,Activation,Masked Activation sentence.,0.22
221,Activation,Masked Activation sentence.,0.22
222,Activation,Masked Activation sentence.,0.22
223,Activation,Masked Activation sentence.,0.22
224,Activation,Masked Activation sentence.,0.22
225,Activation,Masked Activation sentence.,0.22
226,Activation,Masked Activation sentence.,0.25
227,Activation,Masked Activation sentence.,0.25
228,Activation,Masked Activation sentence.,0.25
229,Activation,Masked Activation sentence.,0.28
230,Activation,Masked Activation sentence.,0.28
231,Activation,Masked Activation sentence.,0.28
232,Activation,Masked Activation sentence.,0.3
233,Activation,Masked Activation sentence.,0.3
234,Activation,Masked Activation sentence.,0.3
235,Activation,Masked Activation sentence.,0.32
236,Activation,Masked Activation sentence.,0.32
237,Activation,Masked Activation sentence.,0.32
238,Activation,Masked Activation sentence.,0.35
239,Activation,Masked Activation sentence.,0.35
240,Activation,Masked Activation sentence.,0.35
241,Activation,Masked Activation sentence.,0.36
242,Activation,Masked Activation sentence.,0.36
243,Activation,Masked Activation sentence.,0.36
244,Activation,Masked Activation sentence.,0.4
245,Activation,Masked Activation sentence.,0.4
246,Activation,Masked Activation sentence.,0.4
247,Activation,Masked Activation sentence.,0.4
248,Activation,Masked Activation sentence.,0.4
249,Activation,Masked Activation sentence.,0.4
250,Activation,Masked Activation sentence.,0.45
251,Activation,Masked Activation sentence.,0.45
252,Activation,Masked Activation sentence.,0.45
253,Activation,Masked Activation sentence.,0.48
254,Activation,Masked Activation sentence.,0.48
255,Activation,Masked Activation sentence.,0.48
256,Activation,Masked Activation sentence.,0.5
257,Activation,Masked Activation sentence.,0.5
258,Activation,Masked Activation sentence.,0.5
259,Growth,Masked Growth sentence.,0.55
260,Growth,Masked Growth sentence.,0.55
261,Growth,Masked Growth sentence.,0.55
262,Growth,Masked Growth sentence.,0.6
263,Growth,Masked Growth sentence.,0.6
264,Growth,Masked Growth sentence.,0.6
265,Growth,Masked Growth sentence.,0.7
266,Growth,Masked Growth sentence.,0.7
267,Growth,Masked Growth sentence.,0.7
268,Growth,Masked Growth sentence.,0.72
269,Growth,Masked Growth sentence.,0.72
270,Growth,Masked Growth sentence.,0.72
271,Growth,Masked Growth sentence.,0.82
272,Growth,Masked Growth sentence.,0.82
273,Growth,Masked Growth sentence.,0.82
274,Growth,Masked Growth sentence.,0.88
275,Growth,Masked Growth sentence.,0.88
276,Growth,Masked Growth sentence.,0.88
277,Growth,Masked Growth sentence.,0.9
278,Growth,Masked Growth sentence.,0.9
279,Growth,Masked Growth sentence.,0.9
280,Growth,Masked Growth sentence.,0.9
281,Growth,Masked Growth sentence.,0.9
282,Growth,Masked Growth sentence.,0.9
283,Growth,Masked Growth sentence.,0.9
284,Growth,Masked Growth sentence.,0.9
285,Growth,Masked Growth sentence.,0.9
286,Growth,Masked Growth sentence.,0.9
287,Growth,Masked Growth sentence.,0.9
288,Growth,Masked Growth sentence.,0.9
289,Growth,Masked Growth sentence.,0.92
290,Growth,Masked Growth sentence.,0.92
291,Growth,Masked Growth sentence.,0.92
292,Growth,Masked Growth sentence.,0.94
293,Growth,Masked Growth sentence.,0.94
294,Growth,Masked Growth sentence.,0.94
295,Growth,Masked Growth sentence.,0.95
296,Growth,Masked Growth sentence.,0.95
297,Growth,Masked Growth sentence.,0.95
298,Growth,Masked Growth sentence.,1
299,Growth,Masked Growth sentence.,1
300,Growth,Masked Growth sentence.,1
301,Growth,Masked Growth sentence.,1.06
302,Growth,Masked Growth sentence.,1.06
303,Growth,Masked Growth sentence.,1.06
304,Growth,Masked Growth sentence.,1.15
305,Growth,Masked Growth sentence.,1.15
306,Growth,Masked Growth sentence.,1.15
307,Growth,Masked Growth sentence.,1.18
308,Growth,Masked Growth sentence.,1.18
309,Growth,Masked Growth sentence.,1.18
310,Growth,Masked Growth sentence.,1.21
311,Growth,Masked Growth sentence.,1.21
312,Growth,Masked Growth sentence.,1.21
313,Growth,Masked Growth sentence.,1.33
314,Growth,Masked Growth sentence.,1.33
315,Growth,Masked Growth sentence.,1.33
316,Growth,Masked Growth sentence.,1.4
317,Growth,Masked Growth sentence.,1.4
318,Growth,Masked Growth sentence.,1.4
319,Clarity,Masked Clarity sentence.,2.4
320,Clarity,Masked Clarity sentence.,2.4
321,Clarity,Masked Clarity sentence.,2.4
322,Clarity,Masked Clarity sentence.,2.42
323,Clarity,Masked Clarity sentence.,2.42
324,Clarity,Masked Clarity sentence.,2.42
325,Clarity,Masked Clarity sentence.,2.45
326,Clarity,Masked Clarity sentence.,2.45
327,Clarity,Masked Clarity sentence.,2.45
328,Clarity,Masked Clarity sentence.,2.5
329,Clarity,Masked Clarity sentence.,2.5
330,Clarity,Masked Clarity sentence.,2.5
331,Clarity,Masked Clarity sentence.,2.51
332,Clarity,Masked Clarity sentence.,2.51
333,Clarity,Masked Clarity sentence.,2.51
334,Clarity,Masked Clarity sentence.,2.54
335,Clarity,Masked Clarity sentence.,2.54
336,Clarity,Masked Clarity sentence.,2.54
337,Clarity,Masked Clarity sentence.,2.55
338,Clarity,Masked Clarity sentence.,2.55
339,Clarity,Masked Clarity sentence.,2.55
340,Clarity,Masked Clarity sentence.,2.6
341,Clarity,Masked Clarity sentence.,2.6
342,Clarity,Masked Clarity sentence.,2.6
343,Clarity,Masked Clarity sentence.,2.6
344,Clarity,Masked Clarity sentence.,2.6
345,Clarity,Masked Clarity sentence.,2.6
346,Clarity,Masked Clarity sentence.,2.6
347,Clarity,Masked Clarity sentence.,2.6
348,Clarity,Masked Clarity sentence.,2.6
349,Clarity,Masked Clarity sentence.,2.61
350,Clarity,Masked Clarity sentence.,2.61
351,Clarity,Masked Clarity sentence.,2.61
352,Clarity,Masked Clarity sentence.,2.66
353,Clarity,Masked Clarity sentence.,2.66
354,Clarity,Masked Clarity sentence.,2.66
355,Unity,Masked Unity sentence.,2.7
356,Unity,Masked Unity sentence.,2.7
357,Unity,Masked Unity sentence.,2.7
358,Unity,Masked Unity sentence.,2.75
359,Unity,Masked Unity sentence.,2.75
360,Unity,Masked Unity sentence.,2.75
361,Unity,Masked Unity sentence.,2.8
362,Unity,Masked Unity sentence.,2.8
363,Unity,Masked Unity sentence.,2.8
364,Unity,Masked Unity sentence.,2.8
365,Unity,Masked Unity sentence.,2.8
366,Unity,Masked Unity sentence.,2.8
367,Unity,Masked Unity sentence.,2.81
368,Unity,Masked Unity sentence.,2.81
369,Unity,Masked Unity sentence.,2.81
370,Unity,Masked Unity sentence.,2.92
371,Unity,Masked Unity sentence.,2.92
372,Unity,Masked Unity sentence.,2.92
373,Unity,Masked Unity sentence.,2.93
374,Unity,Masked Unity sentence.,2.93
375,Unity,Masked Unity sentence.,2.93
376,Unity,Masked Unity sentence.,3
377,Unity,Masked Unity sentence.,3
378,Unity,Masked Unity sentence.,3
379,Unity,Masked Unity sentence.,3
380,Unity,Masked Unity sentence.,3
381,Unity,Masked Unity sentence.,3
382,Unity,Masked Unity sentence.,3.05
383,Unity,Masked Unity sentence.,3.05
384,Unity,Masked Unity sentence.,3.05
385,Unity,Masked Unity sentence.,3.1
386,Unity,Masked Unity sentence.,3.1
387,Unity,Masked Unity sentence.,3.1
388,Unity,Masked Unity sentence.,3.2
389,Unity,Masked Unity sentence.,3.2
390,Unity,Masked Unity sentence.,3.2
391,Unity,Masked Unity sentence.,3.3
392,Unity,Masked Unity sentence.,3.3
393,Unity,Masked Unity sentence.,3.3
394,Unity,Masked Unity sentence.,3.4
395,Unity,Masked Unity sentence.,3.4
396,Unity,Masked Unity sentence.,3.4
397,Unity,Masked Unity sentence.,3.9
398,Unity,Masked Unity sentence.,3.9
399,Unity,Masked Unity sentence.,3.9
400,Unity,Masked Unity sentence.,3.95
401,Unity,Masked Unity sentence.,3.95
402,Unity,Masked Unity sentence.,3.95
403,Unity,Masked Unity sentence.,4.02
404,Unity,Masked Unity sentence.,4.02
405,Unity,Masked Unity sentence.,4.02
406,Unity,Masked Unity sentence.,4.05
407,Unity,Masked Unity sentence.,4.05
408,Unity,Masked Unity sentence.,4.05
409,Unity,Masked Unity sentence.,4.1
410,Unity,Masked Unity sentence.,4.1
411,Unity,Masked Unity sentence.,4.1
412,Unity,Masked Unity sentence.,4.14
413,Unity,Masked Unity sentence.,4.14
414,Unity,Masked Unity sentence.,4.14
415,Unity,Masked Unity sentence.,4.15
416,Unity,Masked Unity sentence.,4.15
417,Unity,Masked Unity sentence.,4.15
418,Unity,Masked Unity sentence.,4.18
419,Unity,Masked Unity sentence.,4.18
420,Unity,Masked Unity sentence.,4.18
421,Unity,Masked Unity sentence.,4.2
422,Unity,Masked Unity sentence.,4.2
423,Unity,Masked Unity sentence.,4.2
424,Unity,Masked Unity sentence.,4.2
425,Unity,Masked Unity sentence.,4.2
426,Unity,Masked Unity sentence.,4.2
427,Unity,Masked Unity sentence.,4.25
428,Unity,Masked Unity sentence.,4.25
429,Unity,Masked Unity sentence.,4.25
430,Unity,Masked Unity sentence.,4.26
431,Unity,Masked Unity sentence.,4.26
432,Unity,Masked Unity sentence.,4.26
433,Unity,Masked Unity sentence.,4.3
434,Unity,Masked Unity sentence.,4.3
435,Unity,Masked Unity sentence.,4.3
436,Unity,Masked Unity sentence.,4.3
437,Unity,Masked Unity sentence.,4.3
438,Unity,Masked Unity sentence.,4.3
439,Unity,Masked Unity sentence.,4.32
440,Unity,Masked Unity sentence.,4.32
441,Unity,Masked Unity sentence.,4.32
442,Unity,Masked Unity sentence.,4.38
443,Unity,Masked Unity sentence.,4.38
444,Unity,Masked Unity sentence.,4.38
445,Unity,Masked Unity sentence.,4.45
446,Unity,Masked Unity sentence.,4.45
447,Unity,Masked Unity sentence.,4.45
448,Unity,Masked Unity sentence.,4.47
449,Unity,Masked Unity sentence.,4.47
450,Unity,Masked Unity sentence.,4.47
451,Unity,Masked Unity sentence.,4.48
452,Unity,Masked Unity sentence.,4.48
453,Unity,Masked Unity sentence.,4.48
454,Unity,Masked Unity sentence.,4.5
455,Unity,Masked Unity sentence.,4.5
456,Unity,Masked Unity sentence.,4.5
457,Unity,Masked Unity sentence.,4.5
458,Unity,Masked Unity sentence.,4.5
459,Unity,Masked Unity sentence.,4.5
460,Unity,Masked Unity sentence.,4.5
461,Unity,Masked Unity sentence.,4.5
462,Unity,Masked Unity sentence.,4.5
463,Unity,Masked Unity sentence.,4.5
464,Unity,Masked Unity sentence.,4.5
465,Unity,Masked Unity sentence.,4.5
466,Unity,Masked Unity sentence.,4.55
467,Unity,Masked Unity sentence.,4.55
468,Unity,Masked Unity sentence.,4.55
469,Unity,Masked Unity sentence.,4.6
470,Unity,Masked Unity sentence.,4.6
471,Unity,Masked Unity sentence.,4.6
472,Unity,Masked Unity sentence.,4.6
473,Unity,Masked Unity sentence.,4.6
474,Unity,Masked Unity sentence.,4.6
475,Unity,Masked Unity sentence.,4.6
476,Unity,Masked Unity sentence.,4.6
477,Unity,Masked Unity sentence.,4.6
478,Unity,Masked Unity sentence.,4.6
479,Unity,Masked Unity sentence.,4.6
480,Unity,Masked Unity sentence.,4.6